Name,Gender,Salary (bottom) 2018,Salary (top) 2018,Salary (midpoint) 2018,Salary (bottom) 2019,Salary (top) 2019,Salary (midpoint) 2019
Gary Linekar,Male,"1,750,000 "," 1,759,999"," 1,755,000 "," 1,750,000 "," 1,754,999 "," 1,752,500 "
Chris Evans,Male,"1,660,000 "," 1,669,999"," 1,665,000 "," 1,250,000 "," 1,254,999 "," 1,252,500 "
Graham Norton,Male,"600,000 "," 609,999"," 605,000 "," 610,000 "," 614,999 "," 612,500 "
Steve Wright,Male,"550,000 "," 559,999"," 555,000 "," 465,000 "," 469,999 "," 467,500 "
Huw Edwards,Male,"520,000 "," 529,999"," 525,000 "," 490,000 "," 494,999 "," 492,500 "
Jeremy Vine,Male,"440,000 "," 449,999"," 445,000 "," 290,000 "," 294,999 "," 292,500 "
Nicky Campbell,Male,"410,000 "," 419,999"," 415,000 "," 340,000 "," 345,999 "," 343,000 "
Alan Shearer,Male,"410,000 "," 419,999"," 415,000 "," 440,000 "," 444,999 "," 442,500 "
Nick Grimshaw,Male,"400,000 "," 409,999"," 405,000 "," 310,000 "," 314,999 "," 312,500 "
John Humphrys,Male,"400,000 "," 409,999"," 405,000 "," 290,000 "," 294,999 "," 292,500 "
Andrew Marr,Male,"400,000 "," 409,999"," 405,000 "," 390,000 "," 394,999 "," 392,500 "
Stephen Nolan,Male,"400,000 "," 409,999"," 405,000 "," 325,000 "," 329,999 "," 327,500 "
Claudia Winkleman,Female,"370,000 "," 379,999"," 375,000 "," 370,000 "," 374,999 "," 372,500 "
Simon Mayo,Male,"340,000 "," 349,999"," 345,000 "," 245,000 "," 249,999 "," 247,500 "
Vanessa Feltz,Female,"330,000 "," 339,999"," 335,000 "," 355,000 "," 359,999 "," 357,500 "
Eddie Mair,Male,"330,000 "," 339,999"," 335,000 "," 155,000 "," 159,999 "," 157,500 "
Ken Bruce,Male,"300,000 "," 309,999"," 305,000 "," 280,000 "," 284,999 "," 282,500 "
George Alagiah,Male,"290,000 "," 299,999"," 295,000 "," 315,000 "," 319,999 "," 317,500 "
Scott Mills,Male,"280,000 "," 289,999"," 285,000 "," 285,000 "," 289,999 "," 287,500 "
Jason Mohammad,Male,"260,000 "," 269,999"," 265,000 "," 355,000 "," 359,999 "," 357,500 "
Nick Robinson,Male,"250,000 "," 259,999"," 255,000 "," 290,000 "," 294,999 "," 292,500 "
Evan Davis,Male,"250,000 "," 259,999"," 255,000 "," 275,000 "," 279,999 "," 277,500 "
Lauren Laverne,Female,"230,000 "," 239,999"," 235,000 "," 305,000 "," 309,999 "," 307,500 "
Gabby Logan,Female,"230,000 "," 239,999"," 235,000 "," 290,000 "," 294,999 "," 292,500 "
Jon Sopel,Male,"230,000 "," 239,999"," 235,000 "," 240,000 "," 244,999 "," 242,500 "
Mark Chapman,Male,"220,000 "," 229,999"," 225,000 "," 230,000 "," 239,999 "," 235,000 "
Mishal Husain,Female,"220,000 "," 229,999"," 225,000 "," 255,000 "," 259,999 "," 257,500 "
Laura Kuenssberg,Female,"220,000 "," 229,999"," 225,000 "," 250,000 "," 254,999 "," 252,500 "
Emily Maitlis,Female,"220,000 "," 229,999"," 225,000 "," 260,000 "," 264,999 "," 262,500 "
Dan Walker,Male,"220,000 "," 229,999"," 225,000 "," 280,000 "," 284,999 "," 282,500 "
Victoria Derbyshire,Female,"210,000 "," 219,999"," 215,000 "," 215,000 "," 219,999 "," 217,500 "
Jeremy Bowen,Male,"200,000 "," 209,999"," 205,000 "," 215,000 "," 219,999 "," 217,500 "
Martha Kearney,Female,"200,000 "," 209,999"," 205,000 "," 245,000 "," 249,999 "," 247,500 "
Amol Rajan,Male,"200,000 "," 209,999"," 205,000 "," 210,000 "," 214,999 "," 212,500 "
Sophie Raworth,Female,"200,000 "," 209,999"," 205,000 "," 265,000 "," 269,999 "," 267,500 "
Sue Barker,Female,"190,000 "," 199,999"," 195,000 "," 195,000 "," 199,999 "," 197,500 "
Mary Berry,Female,"190,000 "," 199,999"," 195,000 "," 195,000 "," 199,999 "," 197,500 "
John McEnroe,Male,"190,000 "," 199,999"," 195,000 "," 190,000 "," 194,999 "," 192,500 "
Mark Radcliffe,Male,"190,000 "," 199,999"," 195,000 "," 155,000 "," 159,999 "," 157,500 "
Jonathon Agnew,Male,"180,000 "," 189,999"," 185,000 "," 170,000 "," 174,999 "," 172,500 "
Clare Balding,Female,"180,000 "," 189,999"," 185,000 "," 175,000 "," 179,999 "," 177,500 "
Fiona Bruce,Female,"180,000 "," 189,999"," 185,000 "," 255,000 "," 259,999 "," 257,500 "
Katya Adler,Female,"170,000 "," 179,999"," 175,000 "," 205,000 "," 209,999 "," 207,500 "
Mark Easton,Male,"170,000 "," 179,999"," 175,000 "," 180,000 "," 184,999 "," 182,500 "
Greg James,Male,"170,000 "," 179,999"," 175,000 "," 225,000 "," 229,999 "," 227,500 "
Shaun Keaveny,Male,"170,000 "," 179,999"," 175,000 "," 160,000 "," 164,999 "," 162,500 "
James Naughtie,Male,"170,000 "," 179,999"," 175,000 "," 170,000 "," 174,999 "," 172,500 "
Jo Whiley,Female,"170,000 "," 179,999"," 175,000 "," 270,000 "," 274,999 "," 272,500 "
Ian Wright,Male,"170,000 "," 179,999"," 175,000 "," 205,000 "," 209,999 "," 207,500 "
Sarah Montague,Female,"160,000 "," 169,999"," 165,000 "," 240,000 "," 244,999 "," 242,500 "
Justin Webb,Male,"160,000 "," 169,999"," 165,000 "," 245,000 "," 249,999 "," 247,500 "
Ben Brown,Male,"150,000 "," 159,999"," 155,000 "," 165,000 "," 169,999 "," 167,500 "
Rachel Burden,Female,"150,000 "," 159,999"," 155,000 "," 170,000 "," 174,999 "," 172,500 "
Tina Daheley,Female,"150,000 "," 159,999"," 155,000 "," 185,000 "," 189,999 "," 187,500 "
Simon Jack,Male,"150,000 "," 159,999"," 155,000 "," 170,000 "," 174,999 "," 172,500 "
Fergal Keane,Male,"150,000 "," 159,999"," 155,000 "," 195,000 "," 199,999 "," 197,500 "
Trevor Nelson,Male,"150,000 "," 159,999"," 155,000 "," 165,000 "," 169,999 "," 167,500 "
John Pienaar,Male,"150,000 "," 159,999"," 155,000 "," 160,000 "," 164,999 "," 162,500 "
Sarah Smith,Female,"150,000 "," 159,999"," 155,000 "," 160,000 "," 164,999 "," 162,500 "
