Film title,Phase,Worldwide gross ($),iMDb Rating
Iron Man,Phase 1,"585,174,222.00",7.9
The Incredible Hulk,Phase 1,"263,427,551.00",6.7
Iron Man 2,Phase 1,"623,933,331.00",7.0
Thor,Phase 1,"449,326,618.00",7.0
Captain America: The First Avenger,Phase 1,"370,569,774.00",6.9
Avengers: Assemble,Phase 1,"1,518,812,988.00",8.1
Iron Man 3,Phase 2,"1,214,811,252.00",7.2
Thor: The Dark World,Phase 2,"644,571,402.00",7.0
Captain America: The Winter Soldier,Phase 2,"714,264,267.00",7.8
Guardians of the Galaxy,Phase 2,"773,328,629.00",8.1
Avengers: Age of Ultron,Phase 2,"1,405,403,694.00",7.4
Ant-Man,Phase 2,"519,311,965.00",7.3
Captain America: Civil War,Phase 3,"1,153,304,495.00",7.8
Doctor Strange,Phase 3,"677,718,395.00",7.5
Guardians of the Galaxy Vol. 2,Phase 3,"863,756,051.00",7.7
Spider-Man: Homecoming,Phase 3,"880,166,924.00",7.5
Thor: Ragnarok,Phase 3,"853,977,126.00",7.9
Black Panther,Phase 3,"1,346,913,161.00",7.3
Avengers: Infinity War,Phase 3,"2,048,359,754.00",8.5
Ant-Man and the Wasp,Phase 3,"622,674,139.00",7.1
Captain Marvel,Phase 3,"1,128,274,794",7.0
Avengers: Endgame,Phase 3,"2,793,794,145",8.7
Spider-Man: Far from Home,Phase 3,"1,045,936,001",7.9
